timestamp,rel_alt
1746613997.5115986,6.101
1746613997.593788,6.074
1746613997.6942947,5.998
1746613997.785472,5.879
1746613998.0050976,5.713
1746613998.0355637,5.54
1746613998.0754187,5.314
1746613998.1733904,5.092
1746613998.2677412,4.841
1746613998.3637507,4.542
1746613998.4772046,4.269
1746613998.5615318,4.012
1746613998.6527865,3.772
1746613998.7488317,3.635
1746613998.8449497,3.634
1746613998.9604492,3.78
1746613999.0407095,3.977
1746613999.1389484,4.175
1746613999.4940164,4.357
1746613999.5335753,4.556
1746613999.562297,4.733
1746613999.5943687,4.914
1746613999.6256,5.091
1746613999.7131228,5.315
1746613999.8087566,5.542
1746613999.9224174,5.759
1746614000.0028665,6.015
1746614000.098206,6.253
1746614000.19586,6.472
1746614000.293316,6.662
1746614000.404721,6.821
1746614000.4893486,6.971
1746614000.5891,7.114
1746614000.6793747,7.239
1746614000.7753468,7.391
1746614000.881663,7.509
1746614000.96781,7.604
1746614001.063462,7.657
1746614001.1590822,7.657
1746614001.258154,7.642
1746614001.3614156,7.634
1746614001.4513395,7.597
1746614001.5508761,7.532
1746614001.641103,7.502
1746614001.7405088,7.56
1746614001.8447218,7.684
1746614001.938452,7.849
1746614002.028127,8.082
1746614002.1246278,8.387
1746614002.2375975,8.657
1746614002.3322008,8.922
1746614002.4133673,9.2
1746614002.5140355,9.414
1746614002.606687,9.604
1746614002.7022398,9.755
1746614002.814411,9.894
1746614002.895419,10.022
1746614003.0010617,10.137
1746614003.090491,10.263
1746614003.1874607,10.357
1746614003.301626,10.399
1746614003.389505,10.489
1746614003.4756188,10.604
1746614003.5723817,10.692
1746614003.6675549,10.818
1746614003.7733936,10.972
1746614003.859433,11.108
1746614003.9572086,11.304
1746614004.0535073,11.486
1746614004.1650786,11.654
1746614004.2569497,11.812
1746614004.3422039,11.954
1746614004.441055,12.135
1746614004.5376961,12.321
1746614004.6324973,12.534
1746614004.7378726,12.812
1746614004.8261404,13.061
1746614004.9238293,13.293
1746614005.0175145,13.53
1746614005.1218688,13.735
1746614005.2226946,13.907
1746614005.3085568,14.057
1746614005.4073474,14.184
1746614005.5033944,14.353
1746614005.5994003,14.571
1746614005.710125,14.808
1746614005.8091466,15.088
1746614005.928927,15.443
1746614005.9844403,15.737
1746614006.0798652,16.03
1746614006.18878,16.246
1746614006.275948,16.465
1746614006.3752239,16.725
1746614006.5920131,16.972
1746614006.6866615,17.216
1746614006.7332788,17.444
1746614006.7843175,17.594
1746614006.9050055,17.717
1746614006.9979165,17.832
1746614007.055129,17.927
1746614007.2015014,18.063
1746614007.2595944,18.272
1746614007.4473078,18.516
1746614007.5314958,18.846
1746614007.578518,19.166
1746614007.650621,19.495
